Date,Price,Open,High,Low,Vol_BTC,Vol_USD
2024-03-18,67594,68389,68920,66601,78070.0,"5,277,063,580"
2024-03-17,68391,65314,68857,64605,66070.0,"4,518,593,370"
2024-03-16,65314,69456,70037,64971,75820.0,"4,952,107,480"
2024-03-15,69463,71387,72398,65765,148590.0,"10,321,507,170"
2024-03-14,71387,73066,73740,68717,109430.0,"7,811,879,410"
2024-03-13,73066,71461,73623,71338,77180.0,"5,639,233,880"
2024-03-12,71470,72099,72916,68845,105090.0,"7,510,782,300"
2024-03-11,72099,68964,72771,67452,114720.0,"8,271,197,280"
2024-03-10,69437,68360,69676,68250,37430.0,"2,599,026,910"
2024-03-09,68366,68178,68576,67923,30710.0,"2,099,519,860"
2024-03-08,68172,66854,69904,66170,112670.0,"7,680,939,240"
2024-03-07,66855,66074,67985,65602,77470.0,"5,179,256,850"
2024-03-06,66080,63794,67604,62848,117910.0,"7,791,492,800"
2024-03-05,63792,68273,69063,60138,207600.0,"13,243,219,200"
2024-03-04,68270,63135,68495,62746,130860.00000000001,"8,933,812,200"
2024-03-03,63135,61955,63227,61399,38010.0,"2,399,761,350"
2024-03-02,61994,62397,62446,61621,33800.0,"2,095,397,200"
2024-03-01,62397,61157,63147,60790,74960.0,"4,677,279,120"
2024-02-29,61169,62467,63653,60512,119290.0,"7,296,850,010"
2024-02-28,62467,57048,63915,56704,173640.0,"10,846,769,880"
2024-02-27,57056,54491,57555,54464,100480.0,"5,732,986,880"
2024-02-26,54495,51722,54899,50925,78050.0,"4,253,334,750"
2024-02-25,51722,51572,51952,51299,23610.0,"1,221,156,420"
2024-02-24,51571,50739,51689,50592,20990.0,"1,082,475,290"
2024-02-23,50740,51320,51532,50537,43270.0,"2,195,519,800"
2024-02-22,51320,51850,52015,50947,50270.0,"2,579,856,400"
2024-02-21,51858,52263,52367,50676,59020.0,"3,060,659,160"
2024-02-20,52263,51783,52936,50801,68100.0,"3,559,110,300"
2024-02-19,51783,52119,52484,51694,36730.0,"1,901,989,590"
2024-02-18,52117,51646,52350,51199,26890.0,"1,401,426,130"
2024-02-17,51646,52134,52175,50652,32450.000000000004,"1,675,912,700"
2024-02-16,52134,51901,52556,51612,52860.0,"2,755,803,240"
2024-02-15,51901,51805,52819,51327,74720.0,"3,878,042,720"
