Date,Price,Open,High,Low,Vol_BTC,Vol_USD,retornos
2011-06-30,14,10,14,10,72980.0,"1,021,720",
2011-07-31,15,16,16,15,33280.0,"499,200",0.6
2011-08-31,13,13,13,12,21750.0,"282,750",-0.188
2011-09-30,,,,,,,0.0
2011-10-31,,,,,,,0.0
2011-11-30,,,,,,,0.0
2011-12-31,,,,,,,0.0
2012-01-31,,,,,,,0.0
2012-02-29,,,,,,,0.0
2012-03-31,,,,,,,0.0
2012-04-30,,,,,,,0.0
2012-05-31,,,,,,,0.0
2012-06-30,,,,,,,0.0
2012-07-31,,,,,,,0.0
2012-08-31,11,10,11,10,61640.0,"678,040",-0.231
2012-09-30,11,10,11,10,60770.0,"668,470",0.0
2012-10-31,12,12,12,12,24830.0,"297,960",0.2
2012-11-30,11,10,11,10,39220.0,"431,420",-0.167
2012-12-31,12,12,12,12,14700.0,"176,400",0.2
2013-01-31,13,13,13,13,28410.0,"369,330",0.083
2013-02-28,20,20,21,20,49920.0,"998,400",0.538
2013-03-31,34,33,34,32,39790.0,"1,352,860",0.65
2013-04-30,104,93,106,92,90560.0,"9,418,240",1.818
2013-05-31,116,139,140,104,180010.0,"20,881,160",0.495
2013-06-30,129,128,129,127,6360.0,"820,440",-0.079
2013-07-31,88,97,98,86,53170.0,"4,678,960",-0.242
2013-08-31,104,106,108,103,15020.0,"1,562,080",0.093
2013-09-30,146,141,147,141,14100.0,"2,058,600",0.33
2013-10-31,140,141,144,139,9570.0,"1,339,800",0.0
2013-11-30,213,211,214,209,5880.0,"1,252,440",0.496
2013-12-31,1004,1205,1216,840,79920.0,"80,239,680",4.711
2014-01-31,815,805,829,771,10760.0,"8,769,400",-0.332
2014-02-28,940,938,969,927,4370.0,"4,107,800",0.165
2014-03-31,557,573,564,262,400.0,"222,800",-0.389
2014-04-30,463,444,487,438,3970.0,"1,838,110",-0.225
2014-05-31,460,445,464,444,4200.0,"1,932,000",0.002
2014-06-30,649,627,675,622,3550.0,"2,303,950",0.409
2014-07-31,643,635,652,634,4110.0,"2,642,730",0.013
2014-08-31,598,589,604,586,8930.0,"5,340,140",-0.072
2014-09-30,477,481,487,471,6790.0,"3,238,830",-0.183
2014-10-31,382,388,395,381,17730.0,"6,772,860",-0.193
2014-11-30,325,337,339,320,13770.0,"4,475,250",-0.131
2014-12-31,378,374,383,373,19670.0,"7,435,260",0.11
2015-01-31,314,318,321,313,12820.0,"4,025,480",-0.15
2015-02-28,225,218,231,209,41160.0,"9,261,000",-0.314
2015-03-31,257,254,260,244,51330.0,"13,191,810",0.165
2015-04-30,246,244,247,239,67080.0,"16,501,680",-0.039
2015-05-31,233,235,239,232,60140.0,"14,012,620",-0.037
2015-06-30,223,229,231,221,87060.0,"19,414,380",-0.026
2015-07-31,257,264,265,254,66940.0,"17,203,580",0.153
2015-08-31,280,283,284,276,39430.0,"11,040,400",0.072
2015-09-30,227,229,231,225,66540.0,"15,104,580",-0.191
2015-10-31,237,235,238,234,52880.0,"12,532,560",0.026
2015-11-30,323,311,324,304,73710.0,"23,808,330",0.323
2015-12-31,361,378,379,353,111910.0,"40,399,510",0.215
2016-01-31,434,430,438,425,46970.0,"20,384,980",0.138
2016-02-29,372,369,379,365,74350.0,"27,658,200",-0.142
2016-03-31,434,436,439,428,67460.0,"29,277,640",0.182
2016-04-30,415,415,416,412,38220.0,"15,861,300",-0.048
2016-05-31,452,448,454,447,21750.0,"9,831,000",0.08
2016-06-30,537,528,542,521,72410.0,"38,884,170",0.179
2016-07-31,674,670,685,661,92230.0,"62,163,020",0.269
2016-08-31,607,621,627,603,66660.0,"40,462,620",-0.073
2016-09-30,572,573,705,569,25870.0,"14,797,640",-0.077
2016-10-31,613,608,615,607,16930.0,"10,378,090",0.061
2016-11-30,726,698,734,695,68070.0,"49,418,820",0.148
2016-12-31,752,742,755,741,54030.0,"40,630,560",0.063
2017-01-31,995,963,1001,956,41150.0,"40,944,250",0.298
2017-02-28,982,965,986,959,45220.0,"44,406,040",0.002
2017-03-31,1222,1189,1225,1154,51150.0,"62,505,300",0.232
2017-04-30,1086,1079,1103,1067,50660.0,"55,016,760",-0.093
2017-05-31,1415,1351,1448,1342,100440.0,"142,122,600",0.252
2017-06-30,2412,2303,2460,2303,122700.0,"295,952,400",0.705
2017-07-31,2424,2480,2529,2387,66320.0,"160,759,680",0.077
2017-08-31,2747,2883,2946,2659,123170.0,"338,347,990",0.163
2017-09-30,4921,4735,4925,4690,102010.0,"501,991,210",0.642
2017-10-31,4403,4360,4412,4258,60580.0,"266,733,740",-0.079
2017-11-30,6737,6449,6738,6355,133190.0,"897,301,030",0.479
2017-12-31,10861,9947,10942,9420,131920.0,"1,432,783,120",0.542
2018-01-31,13444,13850,13921,12877,78430.0,"1,054,412,920",0.392
2018-02-28,9181,10266,10303,8789,358400.0,"3,290,470,400",-0.259
2018-03-31,10904,10335,11047,10248,188770.0,"2,058,348,080",0.007
2018-04-30,6825,6939,7047,6460,257529.99999999997,"1,757,642,250",-0.329
2018-05-31,9074,9245,9245,8851,173350.0,"1,572,977,900",0.332
2018-06-30,7530,7502,7610,7375,135920.0,"1,023,477,600",-0.189
2018-07-31,6366,6398,6445,6284,128509.99999999999,"818,094,660",-0.147
2018-08-31,7606,7728,7753,7449,237690.0,"1,807,870,140",0.208
2018-09-30,7189,7032,7264,7020,3520.0,"25,305,280",-0.09
2018-10-31,6608,6635,6674,6072,9190.0,"60,727,520",-0.056
2018-11-30,6400,6365,6421,6354,124160.0,"794,624,000",-0.041
2018-12-31,4196,4038,4299,3967,316300.0,"1,327,194,800",-0.366
2019-01-31,3809,3709,3814,3664,469110.0,"1,786,839,990",-0.081
2019-02-28,3467,3437,3485,3415,481580.0,"1,669,637,860",-0.073
2019-03-31,3821,3816,3855,3816,1740.0,"6,648,540",0.11
2019-04-30,4145,4102,4159,4076,3220.0,"13,346,900",0.075
2019-05-31,5384,5321,5396,5319,623640.0,"3,357,677,760",0.297
2019-06-30,8545,8556,8615,8454,686750.0,"5,868,278,750",0.608
2019-07-31,10616,10821,11254,10041,1040.0,"11,040,640",0.265
2019-08-31,10380,10081,10459,9890,608370.0,"6,314,880,600",-0.068
2019-09-30,9729,9594,9799,9533,322660.0,"3,139,159,140",-0.048
2019-10-31,8302,8285,8486,8187,533950.0,"4,432,852,900",-0.136
2019-11-30,9230,9153,9270,9057,689650.0,"6,365,469,500",0.105
2019-12-31,7396,7546,7546,7244,777000.0,"5,746,692,000",-0.176
2020-01-31,7199,7196,7259,7180,420280.0,"3,025,595,720",-0.046
2020-02-29,9381,9349,9458,9301,458420.0,"4,300,438,020",0.299
2020-03-31,8540,8543,8737,8437,784050.0,"6,695,787,000",-0.086
2020-04-30,6638,6412,6661,6157,1400.0,"9,293,200",-0.249
2020-05-31,8821,8628,9040,8621,1110.0,"9,791,310",0.346
2020-06-30,10189,9454,10301,9429,796680.0,"8,117,372,520",0.096
2020-07-31,9229,9135,9289,9101,366780.0,"3,385,012,620",-0.034
2020-08-31,11803,11333,11847,11226,611470.0,"7,217,180,410",0.241
2020-09-30,11914,11644,12045,11544,580690.0,"6,918,340,660",0.027
2020-10-31,10620,10776,10913,10462,95330.0,"1,012,404,600",-0.075
2020-11-30,13759,13795,13889,13628,51710.0,"711,477,890",0.28
2020-12-31,18770,19697,19897,18257,208720.0,"3,917,674,400",0.428
2021-01-31,29359,28951,29627,28712,100900.0,"2,962,323,100",0.47
2021-02-28,33515,33106,34685,32324,126320.0,"4,233,614,800",0.144
2021-03-31,49595,45160,49774,45008,137520.0,"6,820,304,400",0.364
2021-04-30,58718,58763,59406,58040,69040.0,"4,053,890,720",0.301
2021-05-31,57807,57719,58449,57029,63410.0,"3,665,541,870",-0.018
2021-06-30,36687,37294,37850,35742,113480.0,"4,163,240,760",-0.354
2021-07-31,33543,35030,35032,32839,27410.0,"919,413,630",-0.061
2021-08-31,39878,41510,42565,39556,80330.0,"3,203,399,740",0.185
2021-09-30,48819,47129,49121,46533,74380.0,"3,631,157,220",0.135
2021-10-31,48146,43824,48435,43292,94660.0,"4,557,500,360",-0.07
2021-11-30,60915,61310,62430,59612,61210.0,"3,728,607,150",0.399
2021-12-31,57210,56891,59064,56496,66750.0,"3,818,767,500",-0.072
2022-01-31,47738,46217,47917,46217,31240.0,"1,491,335,120",-0.188
2022-02-28,38709,38475,39230,38037,55200.0,"2,136,736,800",-0.168
2022-03-31,44420,43187,44900,42876,90670.0,"4,027,561,400",0.122
2022-04-30,46297,45529,46728,44261,632930.0,"29,302,760,210",0.054
2022-05-31,38461,37642,38676,37397,276990.0,"10,653,312,390",-0.173
2022-06-30,29798,31793,31969,29396,135090.0,"4,025,411,820",-0.155
2022-07-31,19262,19926,20785,18980,150180.0,"2,892,767,160",-0.373
2022-08-31,23271,23303,23484,22863,162330.0,"3,777,581,430",0.169
2022-09-30,20126,20049,20202,19584,275080.0,"5,536,260,080",-0.14
2022-10-31,19311,19422,19480,19172,173910.0,"3,358,376,010",-0.031
2022-11-30,20483,20496,20676,20348,302720.0,"6,200,613,760",0.055
2022-12-31,16972,17163,17244,16868,266140.0,"4,516,928,080",-0.163
2023-01-31,16618,16537,16621,16499,107840.0,"1,792,085,120",-0.036
2023-02-28,23725,23124,23784,22809,333180.0,"7,904,695,500",0.398
2023-03-31,23642,23130,23914,23025,328770.0,"7,772,780,340",0.0
2023-04-30,28456,28473,28795,28285,38090.0,"1,083,889,040",0.231
2023-05-31,28077,29252,29329,27685,84360.0,"2,368,575,720",0.027
2023-06-30,26819,27216,27340,26662,51980.0,"1,394,051,620",-0.07
2023-07-31,30586,30472,30649,30329,22460.0,"686,961,560",0.12
2023-08-31,29712,29232,29712,28611,64010.00000000001,"1,901,865,120",-0.041
2023-09-30,25803,25938,26144,25361,58080.0,"1,498,638,240",-0.113
2023-10-31,27974,26962,28038,26955,35110.0,"982,167,140",0.039
2023-11-30,35423,34648,35557,34138,71660.0,"2,538,412,180",0.285
2023-12-31,38688,37712,38950,37618,62500.0,"2,418,000,000",0.088
2024-01-31,44183,42272,44187,42196,36300.0,"1,603,842,900",0.121
2024-02-29,43081,42580,43263,41890,47690.0,"2,054,532,890",0.007
