Date,Price,Open,High,Low,Vol_BTC,Vol_USD,retornos
2011-06-05,14,10,14,10,72980.0,"1,021,720",
2011-06-12,18,16,19,16,55090.0,"991,620",0.6
2011-06-19,19,18,24,16,73420.0,"1,394,980",0.125
2011-06-26,17,17,17,17,15050.0,nan,-0.056
2011-07-03,16,16,18,15,31450.0,"503,200",-0.059
2011-07-10,13,15,15,13,52280.0,"679,640",-0.062
2011-07-17,14,14,15,13,49160.0,"688,240",-0.067
2011-07-24,13,13,13,12,75900.0,"986,700",-0.071
2011-07-31,14,14,14,13,31580.0,"442,120",0.077
2011-08-07,13,13,13,12,21750.0,"282,750",-0.071
2011-08-14,,,,,,,0.0
2011-08-21,11,10,11,10,38160.0,"419,760",-0.231
2011-08-28,,,,,,,0.0
2011-09-04,,,,,,,0.0
2011-09-11,,,,,,,0.0
2011-09-18,,,,,,,0.0
2011-09-25,,,,,,,0.0
2011-10-02,,,,,,,0.0
2011-10-09,,,,,,,0.0
2011-10-16,,,,,,,0.0
2011-10-23,,,,,,,0.0
2011-10-30,,,,,,,0.0
2011-11-06,,,,,,,0.0
2011-11-13,,,,,,,0.0
2011-11-20,,,,,,,0.0
2011-11-27,,,,,,,0.0
2011-12-04,,,,,,,0.0
2011-12-11,,,,,,,0.0
2011-12-18,,,,,,,0.0
2011-12-25,,,,,,,0.0
2012-01-01,,,,,,,0.0
2012-01-08,,,,,,,0.0
2012-01-15,,,,,,,0.0
2012-01-22,,,,,,,0.0
2012-01-29,,,,,,,0.0
2012-02-05,,,,,,,0.0
2012-02-12,,,,,,,0.0
2012-02-19,,,,,,,0.0
2012-02-26,,,,,,,0.0
2012-03-04,,,,,,,0.0
2012-03-11,,,,,,,0.0
2012-03-18,,,,,,,0.0
2012-03-25,,,,,,,0.0
2012-04-01,,,,,,,0.0
2012-04-08,,,,,,,0.0
2012-04-15,,,,,,,0.0
2012-04-22,,,,,,,0.0
2012-04-29,,,,,,,0.0
2012-05-06,,,,,,,0.0
2012-05-13,,,,,,,0.0
2012-05-20,,,,,,,0.0
2012-05-27,,,,,,,0.0
2012-06-03,,,,,,,0.0
